"Product Name","Seller Name",Status
"11 1o1",,Disabled
"11 1o1",,Disabled
"11 1o1",,"Approval Pending"
"11 1o1",,"Approval Pending"
"Collect product",Zain,Approved
"Assign T2",T2,Disabled
"Commission Product",Commission,"Approval Pending"
"Product 1 Shopify",Zain,"Approval Pending"
"Product 2 Shopify",Zain,"Approval Pending"
"T1 Pro",Zain,"Approval Pending"
23332,Zain,"Approval Pending"
sd,Zain,"Approval Pending"
"Final Product",,"Approval Pending"
"Dank -12"" 7mm glass bong with Glitter Logo",,Approved
"Dank -12"" 7mm glass bong with Glitter Logo",,Approved
"10"" Hookah [MD2189]",,Approved
"Weigh Gram - Digital Pocket Scale [TP-1KG]",,"Approval Pending"
"Dank -12"" 7mm glass bong with Glitter Logo",Zain,Approved
"Dank -12"" 7mm glass bong with Glitter Logo",Zain,Approved
"Dank -12"" 7mm glass bong with Glitter Logo",Zain,Approved
"10"" Hookah [MD2189]",,Approved
"Weigh Gram - Digital Pocket Scale [TP-1KG]",,"Approval Pending"
"Dank -12"" 7mm glass bong with Glitter Logo",Zain,Approved
"10"" Hookah [MD2189]",,Approved
"Weigh Gram - Digital Pocket Scale [TP-1KG]",Zain,"Approval Pending"
"Dank -12"" 7mm glass bong with Glitter Logo",Zain,Approved
